[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
121:20503069:d=2016042018:RH:550 mb:anl:
122:20735394:d=2016042018:VVEL:550 mb:anl:
123:21038600:d=2016042018:UGRD:550 mb:anl:
124:21284867:d=2016042018:VGRD:550 mb:anl:
125:21533510:d=2016042018:ABSV:550 mb:anl:
126:21732859:d=2016042018:CLWMR:550 mb:anl:
127:21798455:d=2016042018:HGT:600 mb:anl:
128:22049581:d=2016042018:TMP:600 mb:anl:
129:22163325:d=2016042018:RH:600 mb:anl:
130:22398734:d=2016042018:VVEL:600 mb:anl:
131:22710193:d=2016042018:UGRD:600 mb:anl:
132:22959934:d=2016042018:VGRD:600 mb:anl:
133:23211808:d=2016042018:ABSV:600 mb:anl:
134:23414937:d=2016042018:CLWMR:600 mb:anl:
135:23483349:d=2016042018:HGT:650 mb:anl:
136:23734924:d=2016042018:TMP:650 mb:anl:
137:23854564:d=2016042018:RH:650 mb:anl:
138:24095728:d=2016042018:VVEL:650 mb:anl:
139:24413507:d=2016042018:UGRD:650 mb:anl:
140:24667811:d=2016042018:VGRD:650 mb:anl:
141:24924583:d=2016042018:ABSV:650 mb:anl:
142:25136445:d=2016042018:CLWMR:650 mb:anl:
143:25209778:d=2016042018:HGT:700 mb:anl:
144:25461883:d=2016042018:TMP:700 mb:anl:
145:25584867:d=2016042018:RH:700 mb:anl:
146:25829501:d=2016042018:VVEL:700 mb:anl:
147:26153009:d=2016042018:UGRD:700 mb:anl:
148:26412356:d=2016042018:VGRD:700 mb:anl:
149:26672383:d=2016042018:ABSV:700 mb:anl:
150:26890990:d=2016042018:CLWMR:700 mb:anl:
151:26972231:d=2016042018:HGT:750 mb:anl:
152:27225076:d=2016042018:TMP:750 mb:anl:
153:27352258:d=2016042018:RH:750 mb:anl:
154:27597591:d=2016042018:VVEL:750 mb:anl:
155:27926227:d=2016042018:UGRD:750 mb:anl:
156:28087351:d=2016042018:VGRD:750 mb:anl:
157:28251207:d=2016042018:ABSV:750 mb:anl:
158:28471785:d=2016042018:CLWMR:750 mb:anl:
159:28552534:d=2016042018:HGT:800 mb:anl:
160:28808207:d=2016042018:TMP:800 mb:anl:
161:28943387:d=2016042018:RH:800 mb:anl:
162:29193934:d=2016042018:VVEL:800 mb:anl:
163:29530177:d=2016042018:UGRD:800 mb:anl:
164:29693889:d=2016042018:VGRD:800 mb:anl:
165:29860650:d=2016042018:ABSV:800 mb:anl:
166:30087181:d=2016042018:CLWMR:800 mb:anl:
167:30171152:d=2016042018:HGT:850 mb:anl:
168:30428742:d=2016042018:TMP:850 mb:anl:
169:30568182:d=2016042018:RH:850 mb:anl:
170:30818314:d=2016042018:VVEL:850 mb:anl:
171:31158794:d=2016042018:UGRD:850 mb:anl:
172:31325245:d=2016042018:VGRD:850 mb:anl:
173:31494562:d=2016042018:ABSV:850 mb:anl:
174:31722832:d=2016042018:CLWMR:850 mb:anl:
175:31820985:d=2016042018:HGT:900 mb:anl:
176:32084353:d=2016042018:TMP:900 mb:anl:
177:32225959:d=2016042018:RH:900 mb:anl:
178:32472806:d=2016042018:VVEL:900 mb:anl:
179:32814481:d=2016042018:UGRD:900 mb:anl:
180:32983575:d=2016042018:VGRD:900 mb:anl:
181:33153133:d=2016042018:ABSV:900 mb:anl:
182:33382032:d=2016042018:CLWMR:900 mb:anl:
183:33553535:d=2016042018:HGT:925 mb:anl:
184:33819733:d=2016042018:TMP:925 mb:anl:
185:33963283:d=2016042018:RH:925 mb:anl:
186:34206839:d=2016042018:VVEL:925 mb:anl:
187:34546051:d=2016042018:UGRD:925 mb:anl:
188:34712160:d=2016042018:VGRD:925 mb:anl:
189:34880647:d=2016042018:ABSV:925 mb:anl:
190:35107631:d=2016042018:CLWMR:925 mb:anl:
191:35256221:d=2016042018:HGT:950 mb:anl:
192:35526215:d=2016042018:TMP:950 mb:anl:
193:35667247:d=2016042018:RH:950 mb:anl:
